id,region,year,manufacturer,model,odometer,title_status,transmission,VIN,state,lat,long
7308950198,huntsville / decatur,2012.0,honda,accord lx,174000.0,clean,automatic,,al,34.7448,-86.6704
7303542730,huntsville / decatur,2012.0,honda,accord ex-l sedan 4d,112988.0,rebuilt,automatic,,al,34.724654,-86.627534
7314616669,tuscaloosa,2012.0,honda,accord,95000.0,clean,automatic,,al,33.1456,-87.4545
7314316543,tucson,2012.0,honda,accord,84695.0,clean,automatic,,az,32.271329,-110.993712
7314113948,tucson,2012.0,honda,accord,132575.0,clean,automatic,1HGCP2F38CA238524,az,32.25166,-110.960537
7312011242,tucson,2012.0,honda,accord crosstour ex-l,109180.0,clean,automatic,,az,32.267941,-110.977848
7311560266,fayetteville,2012.0,honda,accord se,85765.0,clean,automatic,1HGCP2F69CA160457,ar,36.093598,-94.19146
7310027754,fayetteville,2012.0,honda,accord se,85765.0,clean,automatic,1HGCP2F69CA160457,ar,36.093598,-94.19146
7307710990,fayetteville,2012.0,honda,accord se,85765.0,clean,automatic,1HGCP2F69CA160457,ar,36.093598,-94.19146
7309467125,fort smith,2012.0,honda,accord se,85765.0,clean,automatic,1HGCP2F69CA160457,ar,36.093598,-94.19146
7315286379,little rock,2012.0,honda,accord exl,125364.0,clean,automatic,,ar,34.5317,-93.0638
7311873994,little rock,2012.0,honda,accord exl,125364.0,clean,automatic,,ar,34.5317,-93.0638
7309467191,little rock,2012.0,honda,accord se,85765.0,clean,automatic,1HGCP2F69CA160457,ar,36.093598,-94.19146
7308726745,little rock,2012.0,honda,accord exl,125364.0,clean,automatic,,ar,34.5317,-93.0638
7307712395,little rock,2012.0,honda,accord lx sedan,122000.0,clean,automatic,,ar,34.1566,-97.1792
7305171661,little rock,2012.0,honda,accord exl,125364.0,clean,automatic,,ar,34.5317,-93.0638
7315628941,bakersfield,2012.0,honda,accord sdn,62095.0,clean,automatic,1HGCP2F62CA105378,ca,35.339728,-119.029217
